epoch,step,train/cardinality_error,train/cardinality_error_0,train/cardinality_error_1,train/cardinality_error_2,train/cardinality_error_enc,train/class_error,train/loss,train/loss_bbox,train/loss_bbox_0,train/loss_bbox_1,train/loss_bbox_2,train/loss_bbox_enc,train/loss_ce,train/loss_ce_0,train/loss_ce_1,train/loss_ce_2,train/loss_ce_enc,train/loss_giou,train/loss_giou_0,train/loss_giou_1,train/loss_giou_2,train/loss_giou_enc,train/lr,train/lr_max,train/lr_min,val/AP/not_occluded,val/AP/occluded,val/F1,val/ema_mAP_50,val/ema_mAP_50_95,val/ema_mAR,val/loss,val/mAP_50,val/mAP_50_95,val/mAP_75,val/mAR,val/precision,val/recall
18,1101,3787.28759765625,3830.570068359375,3867.07763671875,3875.05712890625,3884.80810546875,1.0029840469360352,2.99876070022583,0.010163210332393646,0.010235501453280449,0.010120388120412827,0.010097544640302658,0.012075039558112621,0.3383404612541199,0.3451448678970337,0.33677250146865845,0.3374611735343933,0.3879108428955078,0.09554536640644073,0.09610869735479355,0.09549784660339355,0.09539395570755005,0.11229029297828674,,,,,,,,,,,,,,,,
19,1149,,,,,,,,,,,,,,,,,,,,,,,1.9999999494757503e-05,7.349999941652641e-05,3.232564267818816e-06,,,,,,,,,,,,,
19,1159,,,,,,,,,,,,,,,,,,,,,,,,,,0.8124595880508423,0.5422796010971069,0.8515478372573853,0.8851025700569153,0.6854621171951294,0.8254310488700867,5.1509504318237305,0.8849462270736694,0.6773695945739746,0.7758705615997314,0.8288792967796326,0.8957427740097046,0.8146551847457886
19,1159,3756.646484375,3812.14111328125,3856.7919921875,3865.81787109375,3882.416015625,0.6852341890335083,2.8071305751800537,0.009372400119900703,0.009391747415065765,0.009315596893429756,0.009364578872919083,0.010979296639561653,0.3158818185329437,0.3217760920524597,0.3141849637031555,0.31423863768577576,0.36359551548957825,0.09108629822731018,0.0911496952176094,0.09059375524520874,0.09069272875785828,0.10414551198482513,,,,,,,,,,,,,,,,
20,1199,,,,,,,,,,,,,,,,,,,,,,,1.9999999494757503e-05,7.349999941652641e-05,3.232564267818816e-06,,,,,,,,,,,,,
20,1217,,,,,,,,,,,,,,,,,,,,,,,,,,0.8279497623443604,0.5258912444114685,0.8538089990615845,0.8939220309257507,0.691627025604248,0.8374999761581421,5.096671104431152,0.8777352571487427,0.676920473575592,0.7867165207862854,0.8349137902259827,0.8379170298576355,0.8706896305084229
20,1217,3774.95263671875,3828.416015625,3862.351318359375,3874.8134765625,3881.326416015625,0.6990495920181274,2.8353781700134277,0.00956443976610899,0.009622270241379738,0.009616452269256115,0.009561804123222828,0.01165431085973978,0.3115915060043335,0.31877821683883667,0.31239768862724304,0.31220296025276184,0.3671421408653259,0.09247662872076035,0.09336382150650024,0.09309805184602737,0.09243886917829514,0.11020733416080475,,,,,,,,,,,,,,,,
21,1249,,,,,,,,,,,,,,,,,,,,,,,1.9999999494757503e-05,7.349999941652641e-05,3.232564267818816e-06,,,,,,,,,,,,,
21,1275,,,,,,,,,,,,,,,,,,,,,,,,,,0.8358544111251831,0.5241672992706299,0.8314468264579773,0.8904246091842651,0.690992534160614,0.8318965435028076,5.266613483428955,0.8697653412818909,0.6800108551979065,0.7781718969345093,0.8331896662712097,0.8126006722450256,0.857758641242981
21,1275,3788.73388671875,3827.1884765625,3866.991455078125,3878.284423828125,3883.49365234375,0.6465517282485962,2.7638823986053467,0.009232143871486187,0.009324033744633198,0.00922804232686758,0.009227210655808449,0.011073470115661621,0.3075699508190155,0.3177236020565033,0.31044143438339233,0.30797502398490906,0.36403313279151917,0.08840316534042358,0.08929494023323059,0.08875944465398788,0.08836226165294647,0.10303785651922226,,,,,,,,,,,,,,,,
22,1299,,,,,,,,,,,,,,,,,,,,,,,1.9999999494757503e-05,7.349999941652641e-05,3.232564267818816e-06,,,,,,,,,,,,,
22,1333,,,,,,,,,,,,,,,,,,,,,,,,,,0.7934032082557678,0.4849751591682434,0.8254757523536682,0.8915510177612305,0.6947195529937744,0.8288792967796326,5.616704940795898,0.8204811811447144,0.6391891837120056,0.7342533469200134,0.8232758641242981,0.8583747744560242,0.8103448152542114
22,1333,3757.877197265625,3804.492431640625,3857.831787109375,3872.32763671875,3879.74365234375,0.6935234665870667,2.8187122344970703,0.009601373225450516,0.009728493168950081,0.009622523561120033,0.009609468281269073,0.011663994751870632,0.3113429844379425,0.31789514422416687,0.31198686361312866,0.30982139706611633,0.3709993064403534,0.09125273674726486,0.09166686981916428,0.09116370230913162,0.09135909378528595,0.10732598602771759,,,,,,,,,,,,,,,,
23,1349,,,,,,,,,,,,,,,,,,,,,,,1.9999999494757503e-05,7.349999941652641e-05,3.232564267818816e-06,,,,,,,,,,,,,
23,1391,,,,,,,,,,,,,,,,,,,,,,,,,,0.841168224811554,0.542730450630188,0.8462217450141907,0.8940366506576538,0.6942890882492065,0.8314655423164368,5.07066011428833,0.875709056854248,0.6919493675231934,0.7921704649925232,0.8366379141807556,0.8431329727172852,0.8534482717514038
23,1391,3782.12060546875,3811.826416015625,3864.10986328125,3880.240234375,3882.053955078125,0.897988498210907,2.8527307510375977,0.008907663635909557,0.008992958813905716,0.008819427341222763,0.00888089369982481,0.011932102963328362,0.3193744719028473,0.328325092792511,0.32068756222724915,0.3198859691619873,0.3858395218849182,0.08960498124361038,0.09013096988201141,0.08942875266075134,0.08985204249620438,0.11145947873592377,,,,,,,,,,,,,,,,
24,1399,,,,,,,,,,,,,,,,,,,,,,,1.9999999494757503e-05,7.349999941652641e-05,3.232564267818816e-06,,,,,,,,,,,,,
24,1449,,,,,,,,,,,,,,,,,,,,,,,1.9999999494757503e-05,7.349999941652641e-05,3.232564267818816e-06,,,,,,,,,,,,,
24,1449,,,,,,,,,,,,,,,,,,,,,,,,,,0.8239087462425232,0.5054396986961365,0.8402708768844604,0.8922736644744873,0.6953989267349243,0.8318965435028076,5.290646076202393,0.8518352508544922,0.6646742224693298,0.7837948799133301,0.8349137902259827,0.8248355388641357,0.857758641242981
24,1449,3775.336181640625,3790.3955078125,3845.971923828125,3878.451416015625,3881.173583984375,0.9836427569389343,2.8163435459136963,0.00924878939986229,0.009426701813936234,0.009258391335606575,0.009309939108788967,0.011470961384475231,0.31272032856941223,0.32094570994377136,0.31517407298088074,0.3117067217826843,0.3673310875892639,0.09118495881557465,0.09191497415304184,0.09112931787967682,0.0910322368144989,0.1071842610836029,,,,,,,,,,,,,,,,
