epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,8462.67,0.79437,0.39593,0.00267,0.80113,0.83621,0.86482,0.66834,0.92504,0.73499,0.00388,0.000874842,0.000874842,0.000874842
74,8646.21,0.78003,0.37506,0.00246,0.84689,0.82454,0.858,0.66802,0.91415,0.72539,0.00384,0.000863839,0.000863839,0.000863839
75,8834.99,0.78441,0.37265,0.00247,0.82871,0.8319,0.87951,0.67662,0.93188,0.71658,0.00395,0.000852837,0.000852837,0.000852837
76,9020.93,0.78947,0.37622,0.00244,0.87944,0.79789,0.8692,0.66845,0.92136,0.77143,0.00384,0.000841835,0.000841835,0.000841835
77,9208.07,0.77295,0.36978,0.00242,0.85182,0.83402,0.87318,0.68508,0.86741,0.74091,0.00361,0.000830833,0.000830833,0.000830833
78,9394.14,0.74934,0.35378,0.00246,0.86784,0.82759,0.88522,0.67554,0.90655,0.73319,0.00376,0.000819831,0.000819831,0.000819831
79,9582.35,0.74536,0.34652,0.00232,0.84733,0.8319,0.87602,0.67083,0.9007,0.72094,0.00377,0.000808828,0.000808828,0.000808828
80,9774.79,0.7361,0.33238,0.00227,0.8709,0.84914,0.88355,0.67195,0.91275,0.76316,0.0038,0.000797826,0.000797826,0.000797826
81,9965.08,0.73339,0.33396,0.00232,0.84719,0.83246,0.86378,0.66479,0.89691,0.76285,0.00372,0.000786824,0.000786824,0.000786824
82,10156.4,0.72457,0.34887,0.00234,0.83925,0.83621,0.87294,0.67404,0.91732,0.78313,0.00381,0.000775822,0.000775822,0.000775822
83,10342.6,0.73286,0.34403,0.00234,0.87527,0.854,0.87362,0.67589,0.88543,0.72966,0.00373,0.00076482,0.00076482,0.00076482
84,10536.7,0.70536,0.35274,0.00223,0.86772,0.81861,0.86762,0.66188,0.92629,0.76565,0.00389,0.000753817,0.000753817,0.000753817
85,10746.6,0.70459,0.3417,0.00224,0.83713,0.84052,0.88358,0.68495,0.90434,0.71432,0.00381,0.000742815,0.000742815,0.000742815
86,10934.3,0.71393,0.34238,0.00225,0.83926,0.84314,0.8772,0.66817,0.94792,0.72682,0.00396,0.000731813,0.000731813,0.000731813
87,11114.6,0.68757,0.32301,0.0021,0.86145,0.82916,0.88264,0.67517,0.93646,0.75829,0.00391,0.000720811,0.000720811,0.000720811
88,11296,0.69741,0.36182,0.00217,0.85896,0.83226,0.90236,0.7001,0.8924,0.81492,0.00371,0.000709809,0.000709809,0.000709809
89,11478.1,0.70956,0.33149,0.00221,0.86603,0.82804,0.87903,0.67724,0.91142,0.7756,0.0038,0.000698806,0.000698806,0.000698806
90,11658.6,0.70276,0.32823,0.00216,0.83746,0.85869,0.89199,0.69484,0.89492,0.70705,0.00368,0.000687804,0.000687804,0.000687804
91,11836.1,0.70738,0.32025,0.00221,0.82673,0.85559,0.89585,0.7075,0.90769,0.71532,0.00381,0.000676802,0.000676802,0.000676802
92,12022,0.68215,0.29649,0.00208,0.88184,0.81034,0.88634,0.6974,0.89987,0.77336,0.00381,0.0006658,0.0006658,0.0006658
93,12201,0.69024,0.31341,0.0023,0.81,0.88362,0.89905,0.68956,0.89766,0.7534,0.00375,0.000654798,0.000654798,0.000654798
94,12393.2,0.67849,0.29815,0.00208,0.87266,0.82238,0.90399,0.6891,0.91922,0.7467,0.00388,0.000643795,0.000643795,0.000643795
95,12601.4,0.69816,0.29652,0.00212,0.83757,0.85849,0.89102,0.68451,0.90921,0.74931,0.0038,0.000632793,0.000632793,0.000632793
