epoch,step,train/cardinality_error,train/cardinality_error_0,train/cardinality_error_1,train/cardinality_error_enc,train/class_error,train/loss,train/loss_bbox,train/loss_bbox_0,train/loss_bbox_1,train/loss_bbox_enc,train/loss_ce,train/loss_ce_0,train/loss_ce_1,train/loss_ce_enc,train/loss_giou,train/loss_giou_0,train/loss_giou_1,train/loss_giou_enc,train/lr,train/lr_max,train/lr_min,val/AP/not_occluded,val/AP/occluded,val/F1,val/ema_mAP_50,val/ema_mAP_50_95,val/ema_mAR,val/loss,val/mAP_50,val/mAP_50_95,val/mAP_75,val/mAR,val/precision,val/recall
16,985,,,,,,,,,,,,,,,,,,,,,,0.8003291487693787,0.5020329356193542,0.8540496826171875,0.8982101082801819,0.6884499788284302,0.8193965554237366,4.205718040466309,0.8670859336853027,0.6511810421943665,0.7206153273582458,0.8051724433898926,0.8380975127220154,0.8706896305084229
16,985,3888.048583984375,3814.304931640625,3742.15625,3822.4267578125,1.216131567955017,2.920618772506714,0.013179457746446133,0.013152516447007656,0.012902720831334591,0.015542455017566681,0.3872813880443573,0.39152562618255615,0.3882943391799927,0.45084771513938904,0.12399818003177643,0.12412593513727188,0.12237008661031723,0.14389757812023163,,,,,,,,,,,,,,,,
17,999,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,4.04070533477352e-06,,,,,,,,,,,,,
17,1043,,,,,,,,,,,,,,,,,,,,,,0.8025481104850769,0.5124040246009827,0.8733103275299072,0.8949235081672668,0.691598653793335,0.8181034326553345,4.147039413452148,0.8720769286155701,0.6574760675430298,0.7542929649353027,0.8012930750846863,0.8610491156578064,0.8879310488700867
17,1043,3883.586181640625,3786.761962890625,3718.13134765625,3790.048583984375,2.236088752746582,3.0441794395446777,0.013134577311575413,0.01324397511780262,0.013103199191391468,0.016027415171265602,0.4197351634502411,0.41735997796058655,0.41734179854393005,0.4684382677078247,0.12539142370224,0.12567493319511414,0.12459014356136322,0.1462225317955017,,,,,,,,,,,,,,,,
18,1049,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,4.04070533477352e-06,,,,,,,,,,,,,
18,1099,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,4.04070533477352e-06,,,,,,,,,,,,,
18,1101,,,,,,,,,,,,,,,,,,,,,,0.8207380175590515,0.5513654351234436,0.8670603036880493,0.899613618850708,0.699847400188446,0.826724112033844,3.9175400733947754,0.9048357605934143,0.6860517263412476,0.7974511384963989,0.8021551966667175,0.8474915027618408,0.8879310488700867
18,1101,3878.309326171875,3759.767333984375,3700.549560546875,3777.455810546875,1.998862385749817,2.821340322494507,0.011860426515340805,0.011925132013857365,0.01175395492464304,0.01437236275523901,0.38324788212776184,0.3854779005050659,0.383964478969574,0.44574952125549316,0.11702564358711243,0.11680737882852554,0.11644759774208069,0.13639001548290253,,,,,,,,,,,,,,,,
19,1149,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,4.04070533477352e-06,,,,,,,,,,,,,
19,1159,,,,,,,,,,,,,,,,,,,,,,0.7795219421386719,0.5173066854476929,0.8676418662071228,0.8934249877929688,0.6999428868293762,0.829741358757019,4.074464797973633,0.8757379055023193,0.6484143137931824,0.7433551549911499,0.8004310131072998,0.8484345078468323,0.8879310488700867
19,1159,3873.99365234375,3757.17138671875,3733.111083984375,3709.294189453125,1.7028216123580933,2.843696355819702,0.012509137392044067,0.012434235773980618,0.012443429790437222,0.015252879820764065,0.3760618269443512,0.3770829439163208,0.37375566363334656,0.43494945764541626,0.12183383107185364,0.12184321135282516,0.121274933218956,0.14437204599380493,,,,,,,,,,,,,,,,
20,1199,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,4.04070533477352e-06,,,,,,,,,,,,,
20,1217,,,,,,,,,,,,,,,,,,,,,,0.8021687269210815,0.5512084364891052,0.8756579160690308,0.8966168165206909,0.7013382315635681,0.8314655423164368,3.9384703636169434,0.8943262696266174,0.6766886115074158,0.774185061454773,0.8017241358757019,0.8689516186714172,0.8836206793785095
20,1217,3883.706787109375,3793.73486328125,3769.5302734375,3788.884765625,2.2976648807525635,2.9988396167755127,0.013003588654100895,0.013030472211539745,0.012799547985196114,0.017127787694334984,0.40548399090766907,0.4058617651462555,0.4047653377056122,0.4704303741455078,0.122240349650383,0.12226614356040955,0.12097261846065521,0.15076616406440735,,,,,,,,,,,,,,,,
21,1249,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,4.04070533477352e-06,,,,,,,,,,,,,
21,1275,,,,,,,,,,,,,,,,,,,,,,0.7897821664810181,0.5459331274032593,0.8581849932670593,0.9029245376586914,0.705077588558197,0.8331896662712097,4.221715927124023,0.8979525566101074,0.6678576469421387,0.772332489490509,0.8090517520904541,0.8310207724571228,0.8879310488700867
21,1275,3879.262939453125,3786.46337890625,3724.169189453125,3758.17236328125,1.6365084648132324,2.8284406661987305,0.011965861544013023,0.012027272023260593,0.011894607916474342,0.015044770203530788,0.3836420178413391,0.3863935172557831,0.38275015354156494,0.4420625567436218,0.1168457418680191,0.11742871254682541,0.11630541831254959,0.13888534903526306,,,,,,,,,,,,,,,,
22,1299,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,4.04070533477352e-06,,,,,,,,,,,,,
22,1333,,,,,,,,,,,,,,,,,,,,,,0.8052552342414856,0.5402121543884277,0.8552369475364685,0.90529465675354,0.7037854790687561,0.8288792967796326,4.11894416809082,0.8867844343185425,0.6727336645126343,0.7823551297187805,0.810775876045227,0.8106657266616821,0.9051724076271057
22,1333,3884.113037109375,3785.2705078125,3750.4697265625,3802.4052734375,1.5911154747009277,2.7208778858184814,0.01123727671802044,0.011307895183563232,0.011273342184722424,0.014709959737956524,0.3688245117664337,0.369784951210022,0.3677482008934021,0.4369528293609619,0.1104825809597969,0.11136629432439804,0.11060573160648346,0.1350077986717224,,,,,,,,,,,,,,,,
23,1349,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,4.04070533477352e-06,,,,,,,,,,,,,
